184,The Voorman Problem,2011,0,13,0,"Short, Comedy, Drama",Mark Gill
185,Relatos salvajes,2014,0,122,0,"Comedy, Drama, Thriller",Dami\xc3\xa1n Szifr\xc3\xb3n
186,An Inspector Calls,2015,0,87,0,"Drama, Mystery, Thriller",Aisling Walsh
187,Death Billiards,2013,0,25,0,"Animation, Short, Drama",Yuzuru Tachikawa
188,Mandariinid,2013,0,87,0,"Drama, War",Zaza Urushadze
189,12 Angry Men,1957,0,96,0,"Crime, Drama",Sidney Lumet
190,Princess Kaguya,2013,0,137,0,"Animation, Drama, Fantasy",Isao Takahata
191,ack et la mecanique du coeur,2013,0,94,0,"Animation, Adventure, Drama","St\xc3\xa9phane Berla, Mathias Malzieu"
192,Bogowie,2014,0,120,0,"Biography, Drama",Lukasz Palkowski
193,Durak,2014,0,3,0,"Animation, Short","Bugra Ugur Sofu, Serdar \xc3\x87otuk"
194,Nie lubie poniedzialku,1971,0,98,0,Comedy,Tadeusz Chmielewski
195,Filth,2013,0,97,0,"Comedy, Crime, Drama",Jon S. Baird
196,Omar,2013,0,96,0,"Drama, Thriller",Hany Abu-Assad
197,Being John Malkovich,1999,0,112,0,"Comedy, Drama, Fantasy",Spike Jonze
198,The Sting,1973,0,129,0,"Comedy, Crime, Drama",George Roy Hill
199,The Illusionist,2006,0,110,0,"Drama, Mystery, Romance",Neil Burger
200,Stranger Than Fiction,2006,0,113,0,"Comedy, Drama, Fantasy",Marc Forster
201,Cries & Whispers,1972,0,91,0,Drama,Ingmar Bergman
202,Talk to Her,2002,0,112,0,"Drama, Mystery, Romance",Pedro Almod\xc3\xb3var
203,Solaris,1972,0,167,0,"Drama, Mystery, Sci-Fi",Andrei Tarkovsky
204,Time of the Gypsies,1988,0,142,0,"Comedy, Crime, Drama",Emir Kusturica
205,Vengeance Is Mine,1979,0,139,0,"Crime, Drama",Sh\xc3\xb4hei Imamura
206,Faa yeung nin wa,2000,0,98,0,"Drama, Romance",Kar-Wai Wong
207,Narayama bushiko,1983,0,130,0,Drama,Sh\xc3\xb4hei Imamura
208,Fitzcarraldo,1982,0,158,0,"Adventure, Biography, Drama",Werner Herzog
209,Czlowiek z marmuru,1977,0,160,0,Drama,Andrzej Wajda
210,Nostalghia,1983,0,125,0,Drama,Andrei Tarkovsky
211,Yi Yi,2000,0,173,0,"Drama, Romance",Edward Yang
212,Das weisse Band - Eine deutsche Kindergeschichte,2009,0,144,0,"Drama, Mystery",Michael Haneke
213,Ba wang bie ji,1993,0,171,0,"Drama, Music, Romance",Chen Kaige
214,Ta'm e guilass,1997,0,95,0,Drama,Abbas Kiarostami
215,Jeder fur sich und Gott gegen alle,1974,0,110,0,"Biography, Drama, History",Werner Herzog
216,Noz w wodzie,1962,0,94,0,"Drama, Thriller",Roman Polanski
218,Bei qing cheng shi,1989,0,157,0,"Drama, History",Hsiao-Hsien Hou
219,Ni Na Bian Ji Dian,2001,0,116,0,"Drama, Romance",Ming-liang Tsai
220,Chung hing sam lam,1994,0,102,0,"Comedy, Drama, Romance",Kar-Wai Wong
221,Idi i smotri,1985,0,140,0,"Drama, War",Elem Klimov
222,Bin-jip,2004,0,88,0,"Crime, Drama, Romance",Ki-duk Kim
223,L'argent,1983,0,85,0,"Crime, Drama",Robert Bresson
224,Trzy kolory: czerwony,1994,0,99,0,"Drama, Mystery, Romance",Krzysztof Kieslowski
225,La notte di San Lorenzo,1982,0,105,0,"Drama, War","Paolo Taviani, Vittorio Taviani"
226,Nema-ye Nazdik,1990,0,98,0,"Biography, Drama",Abbas Kiarostami
227,Gu ling jie shao nian sha ren shi jian,1991,0,237,0,"Crime, Drama, Romance",Edward Yang
228,The Last Emperor,1987,0,163,0,"Biography, Drama, History",Bernardo Bertolucci
229,Le boucher,1970,0,93,0,"Crime, Thriller",Claude Chabrol
230,Rosetta,1999,0,95,0,Drama,"Jean-Pierre Dardenne, Luc Dardenne"
231,Tristana,1970,0,95,0,Drama,Luis Bu\xc3\xb1uel
232,Lakposhtha parvaz mikonand,2004,0,98,0,"Drama, War",Bahman Ghobadi
233,Hong gao liang,1987,0,91,0,"Drama, Romance, War",Yimou Zhang
234,La historia oficial,1985,0,90,0,"Drama, Family, History",Rodrigo Bazaes
235,Zamani baraye masti asbha,2000,0,80,0,"Drama, War",Bahman Ghobadi
